Estacion,Longitud,Latitud,Tmax,Pmax,Date
ENP1,-99.1220,19.2713,24.8,,2022-01
ENP1,-99.1220,19.2713,28.3,.8,2022-02
ENP1,-99.1220,19.2713,29.8,6.6,2022-03
ENP1,-99.1220,19.2713,32.3,7.6,2022-04
ENP1,-99.1220,19.2713,32.1,3.2,2022-05
ENP1,-99.1220,19.2713,30.8,7.0,2022-06
ENP1,-99.1220,19.2713,30.3,.2,2022-07
ENP1,-99.1220,19.2713,27.3,24.8,2022-08
ENP1,-99.1220,19.2713,27.3,15.8,2022-09
ENP1,-99.1220,19.2713,28.0,34.8,2022-10
ENP1,-99.1220,19.2713,27.0,3.6,2022-11
ENP1,-99.1220,19.2713,26.8,3.6,2022-12
ENP2,-99.0999,19.3840,25.5,5.1,2022-01
ENP2,-99.0999,19.3840,28.1,.5,2022-02
ENP2,-99.0999,19.3840,,.2,2022-03
ENP2,-99.0999,19.3840,,.4,2022-04
ENP2,-99.0999,19.3840,,.1,2022-05
ENP2,-99.0999,19.3840,,.0,2022-06
ENP2,-99.0999,19.3840,,,2022-07
ENP2,-99.0999,19.3840,,,2022-08
ENP2,-99.0999,19.3840,,.2,2022-09
ENP2,-99.0999,19.3840,,.3,2022-10
ENP2,-99.0999,19.3840,,.4,2022-11
ENP2,-99.0999,19.3840,,.1,2022-12
ENP3,-99.0948,19.4818,26.4,1.8,2022-01
ENP3,-99.0948,19.4818,30.0,.2,2022-02
ENP3,-99.0948,19.4818,31.1,2.8,2022-03
ENP3,-99.0948,19.4818,32.2,26.6,2022-04
ENP3,-99.0948,19.4818,32.0,1.8,2022-05
ENP3,-99.0948,19.4818,29.1,,2022-06
ENP3,-99.0948,19.4818,30.1,19.3,2022-07
ENP3,-99.0948,19.4818,28.2,7.6,2022-08
ENP3,-99.0948,19.4818,27.3,15.0,2022-09
ENP3,-99.0948,19.4818,29.0,11.8,2022-10
ENP3,-99.0948,19.4818,26.9,2.0,2022-11
ENP3,-99.0948,19.4818,,,2022-12
ENP4,-99.1949,19.4037,,,2022-01
ENP4,-99.1949,19.4037,27.4,1.6,2022-02
ENP4,-99.1949,19.4037,27.8,3.6,2022-03
ENP4,-99.1949,19.4037,31.0,8.6,2022-04
ENP4,-99.1949,19.4037,31.0,3.6,2022-05
ENP4,-99.1949,19.4037,27.6,21.0,2022-06
ENP4,-99.1949,19.4037,29.1,29.0,2022-07
ENP4,-99.1949,19.4037,26.8,16.0,2022-08
ENP4,-99.1949,19.4037,,,2022-09
ENP4,-99.1949,19.4037,,,2022-10
ENP4,-99.1949,19.4037,,,2022-11
ENP4,-99.1949,19.4037,,,2022-12
ENP5,-99.0805,19.1624,25.1,.2,2022-01
ENP5,-99.0805,19.1624,28.7,.2,2022-02
ENP5,-99.0805,19.1624,32.1,1.8,2022-03
ENP5,-99.0805,19.1624,32.2,8.0,2022-04
ENP5,-99.0805,19.1624,32.4,5.4,2022-05
ENP5,-99.0805,19.1624,30.4,14.0,2022-06
ENP5,-99.0805,19.1624,30.2,5.2,2022-07
ENP5,-99.0805,19.1624,28.1,2.2,2022-08
ENP5,-99.0805,19.1624,26.0,4.6,2022-09
ENP5,-99.0805,19.1624,28.6,4.0,2022-10
ENP5,-99.0805,19.1624,26.8,3.0,2022-11
ENP5,-99.0805,19.1624,25.8,8.6,2022-12
ENP6,-99.0924,19.2107,25.4,3.0,2022-01
ENP6,-99.0924,19.2107,28.6,1.0,2022-02
ENP6,-99.0924,19.2107,30.5,3.2,2022-03
ENP6,-99.0924,19.2107,31.1,1.6,2022-04
ENP6,-99.0924,19.2107,,,2022-05
ENP6,-99.0924,19.2107,,,2022-06
ENP6,-99.0924,19.2107,,,2022-07
ENP6,-99.0924,19.2107,,,2022-08
ENP6,-99.0924,19.2107,,,2022-09
ENP6,-99.0924,19.2107,,,2022-10
ENP6,-99.0924,19.2107,,,2022-11
ENP6,-99.0924,19.2107,,,2022-12
ENP7,-99.1269,19.4197,23.7,1.0,2022-01
ENP7,-99.1269,19.4197,29.2,1.3,2022-02
ENP7,-99.1269,19.4197,31.6,6.3,2022-03
ENP7,-99.1269,19.4197,32.2,9.4,2022-04
ENP7,-99.1269,19.4197,31.9,6.1,2022-05
ENP7,-99.1269,19.4197,30.3,12.4,2022-06
ENP7,-99.1269,19.4197,30.2,16.5,2022-07
ENP7,-99.1269,19.4197,27.2,12.7,2022-08
ENP7,-99.1269,19.4197,,,2022-09
ENP7,-99.1269,19.4197,,,2022-10
ENP7,-99.1269,19.4197,,,2022-11
ENP7,-99.1269,19.4197,,,2022-12
ENP8,-99.1945,19.3674,,,2022-01
ENP8,-99.1945,19.3674,26.8,.4,2022-02
ENP8,-99.1945,19.3674,29.4,2.2,2022-03
ENP8,-99.1945,19.3674,29.3,6.6,2022-04
ENP8,-99.1945,19.3674,29.9,5.8,2022-05
ENP8,-99.1945,19.3674,25.8,11.2,2022-06
ENP8,-99.1945,19.3674,27.6,45.8,2022-07
ENP8,-99.1945,19.3674,25.8,12.0,2022-08
ENP8,-99.1945,19.3674,24.6,8.0,2022-09
ENP8,-99.1945,19.3674,26.1,7.8,2022-10
ENP8,-99.1945,19.3674,24.3,.2,2022-11
ENP8,-99.1945,19.3674,,,2022-12
ENP9,-99.1281,19.4833,25.3,9.8,2022-01
ENP9,-99.1281,19.4833,28.7,.6,2022-02
ENP9,-99.1281,19.4833,30.8,.8,2022-03
ENP9,-99.1281,19.4833,31.1,28.8,2022-04
ENP9,-99.1281,19.4833,31.7,4.0,2022-05
ENP9,-99.1281,19.4833,,,2022-06
ENP9,-99.1281,19.4833,29.4,13.4,2022-07
ENP9,-99.1281,19.4833,26.9,19.0,2022-08
ENP9,-99.1281,19.4833,26.3,5.6,2022-09
ENP9,-99.1281,19.4833,,,2022-10
ENP9,-99.1281,19.4833,,,2022-11
ENP9,-99.1281,19.4833,,,2022-12
